time,pre,sm_bi,lai_bi,sm_constant_lai,constant_lai
1989-01-01T00:00:00,0.0,0.5,2.5,0.5,2.5
1989-01-02T00:00:00,0.0,0.49498333333333333,2.5083333333333333,0.495,2.5
1989-01-03T00:00:00,0.0,0.48995008333333334,2.516625,0.49,2.5
1989-01-04T00:00:00,4.200000286102295,0.4933007515444268,2.5246661805555557,0.49340000057220457,2.5
1989-01-05T00:00:00,11.40000057220459,0.5110358378159193,2.5324574364583334,0.5112000017166137,2.5
1989-01-06T00:00:00,2.0,0.5099551391214052,2.5403493472570595,0.5102000017166137,2.5
1989-01-07T00:00:00,0.0,0.5048572576005457,2.548940760429771,0.5052000017166137,2.5
1989-01-08T00:00:00,0.9000000357627869,0.5015423692972225,2.557444187424348,0.5020000017881393,2.5
1989-01-09T00:00:00,0.9000000357627869,0.49821098399764024,2.5656926855539153,0.4988000018596649,2.5
1989-01-10T00:00:00,1.600000023841858,0.4962634604036302,2.573761820846863,0.4970000019073486,2.5
1989-01-11T00:00:00,0.0,0.4911001567981451,2.5816518027425306,0.4920000019073486,2.5
1989-01-12T00:00:00,3.200000047683716,0.49232131451768796,2.5894211879123024,0.49340000200271605,2.5
1989-01-13T00:00:00,0.0,0.487127441340676,2.5969365885059967,0.48840000200271605,2.5
1989-01-14T00:00:00,1.8000000715255735,0.4855185108963904,2.6044652936683703,0.4870000021457672,2.5
1989-01-15T00:00:00,0.0,0.4802950310085453,2.6117399439225566,0.4820000021457672,2.5
1989-01-16T00:00:00,0.0,0.4750572086442314,2.61891118215696,0.4770000021457672,2.5
1989-01-17T00:00:00,1.3000000715255735,0.4724055509488728,2.6258289192048645,0.4746000022888184,2.5
1989-01-18T00:00:00,0.0,0.4671405632989348,2.6324938249690164,0.4696000022888184,2.5
1989-01-19T00:00:00,0.0,0.4618625334580007,2.6390149204670412,0.46460000228881837,2.5
1989-01-20T00:00:00,0.0,0.45657196538599637,2.645284036002162,0.45960000228881837,2.5
1989-01-21T00:00:00,8.199999809265137,0.4676693612284275,2.651301888049568,0.47100000190734864,2.5
1989-01-22T00:00:00,0.0,0.4623552228074267,2.6570692105004032,0.46600000190734864,2.5
1989-01-23T00:00:00,0.0,0.45702868263176183,2.663270087832419,0.46100000190734863,2.5
1989-01-24T00:00:00,0.0,0.4516902455550747,2.669218538343566,0.45600000190734863,2.5
1989-01-25T00:00:00,0.0,0.44634041494021837,2.6749153074281717,0.4510000019073486,2.5
1989-01-26T00:00:00,0.0,0.44097969262464004,2.680361157789159,0.4460000019073486,2.5
1989-01-27T00:00:00,0.0,0.43560857888606125,2.685556869289389,0.4410000019073486,2.5
1989-01-28T00:00:00,0.0,0.43022757240845666,2.690503238802302,0.4360000019073486,2.5
1989-01-29T00:00:00,0.0,0.4248371702483329,2.695201080061876,0.4310000019073486,2.5
1989-01-30T00:00:00,0.0,0.41943786780130904,2.6996512235119194,0.4260000019073486,2.5
1989-01-31T00:00:00,0.0,0.4140301587689996,2.703854516154707,0.4210000019073486,2.5
1989-02-01T00:00:00,0.0,0.40861453512620166,2.7078118213989884,0.4160000019073486,2.5
1989-02-02T00:00:00,0.0,0.4031914870883869,2.7115240189073684,0.4110000019073486,2.5
1989-02-03T00:00:00,0.0,0.39776150307950076,2.71499200444309,0.4060000019073486,2.5
1989-02-04T00:00:00,0.699999988079071,0.39372506967622645,2.718216689716224,0.4024000018835067,2.5
1989-02-05T00:00:00,2.299999952316284,0.39288267157640044,2.7211990022292887,0.40200000178813927,2.5
1989-02-06T00:00:00,0.0,0.38743467513949115,2.7239982184546516,0.39700000178813927,2.5
1989-02-07T00:00:00,0.0,0.38198117846213503,2.7267483386780618,0.39200000178813926,2.5
1989-02-08T00:00:00,0.0,0.3765226630452374,2.729257708448817,0.38700000178813926,2.5
1989-02-09T00:00:00,0.0,0.3710596084405524,2.7315273023424953,0.38200000178813925,2.5
1989-02-10T00:00:00,0.0,0.36559249222030377,2.7335581101243345,0.37700000178813925,2.5
1989-02-11T00:00:00,0.0,0.36012178994711963,2.7353511365920693,0.37200000178813925,2.5
1989-02-12T00:00:00,1.3000000715255735,0.3572479752873342,2.7369074014182884,0.3696000019311904,2.5
1989-02-13T00:00:00,5.200000286102295,0.3621715199815541,2.738227938992327,0.375000002503395,2.5
1989-02-14T00:00:00,0.0,0.3566926757183521,2.7394221316010046,0.370000002503395,2.5
1989-02-15T00:00:00,4.300000190734863,0.3598110450979374,2.740815500942231,0.3736000028848647,2.5
1989-02-16T00:00:00,0.0,0.35432709786141914,2.7419736182591175,0.3686000028848647,2.5
1989-02-17T00:00:00,3.200000047683716,0.3552405862026928,2.7432558770469027,0.37000000298023217,2.5
1989-02-18T00:00:00,7.800000190734863,0.3653519801306841,2.7443032267392273,0.3806000033617019,2.5
1989-02-19T00:00:00,2.5,0.3648612133272895,2.74538340169731,0.3806000033617019,2.5
1989-02-20T00:00:00,1.7000000476837158,0.3627674544549351,2.746879483860935,0.37900000345706936,2.5
1989-02-21T00:00:00,0.0,0.3572707591809412,2.7483476369969346,0.37400000345706935,2.5
1989-02-22T00:00:00,4.200000286102295,0.3601713173343173,2.749721209414239,0.3774000040292739,2.5
1989-02-23T00:00:00,3.400000095367432,0.3614695997550527,2.750858884999707,0.37920000422000877,2.5
1989-02-24T00:00:00,3.900000095367432,0.3637653764881936,2.7521117287969714,0.3820000044107436,2.5
1989-02-25T00:00:00,10.600000381469728,0.37945855244418086,2.753412403476114,0.39820000517368304,2.5
