Crop_name seeddepth seedday offspring_rate psipwp vegmax genmax tminveg tmaxveg toptveg tmingen tmaxgen toptgen tminphoto tmaxphoto toptphoto daytype expopp photomax stomreg relCO2 gamma gamma0 c4 coef_ex nvmin nvmax weight_lvs root_dia length_root depth_gro_max pen_depth photo_sens seed_bio seed_n maint_ref ref_temp assi_off assi_off_dev assi_leaf assi_leaf_dev assi_stem assi_stem_dev rel_weight_lvs lvs_dev_stage nitro_a nitro_b nitro_lux n_lim straw harvest r_nfix nitro_min_val nitro_min_dev nitro_opt_val nitro_opt_dev class tested
chickpea NA NA NA -1500000 2.17746690250308e-07 2.10732441124598e-07 0 45 28 0 45 28 NA NA NA NA 0.0416666666666667 1.11111111111111e-06 FALSE 0.9 50 38 false 0.6 14 70 0.05 5e-04 NA 1.38888888888889e-07 1.2 1 NA NA [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.0417e-07},{"value":1.1574e-07}] NA [{"value":0.6},{"value":0.95},{"value":0.95},{"value":0.82},{"value":1},{"value":1}] [{"value":0},{"value":0.45},{"value":0.95},{"value":1.25},{"value":1.55},{"value":2}] [{"value":0.6},{"value":0.6},{"value":0.6},{"value":0.55},{"value":0.12},{"value":0},{"value":0},{"value":0}] [{"value":0},{"value":1.13},{"value":1.2},{"value":1.27},{"value":1.72},{"value":1.84},{"value":1.97},{"value":2}] [{"value":0.4},{"value":0.4},{"value":0.32},{"value":0.29},{"value":0.18},{"value":0.15},{"value":0},{"value":0}] [{"value":0},{"value":1.13},{"value":1.2},{"value":1.27},{"value":1.72},{"value":1.84},{"value":1.97},{"value":2}] [{"value":1},{"value":1}] [{"value":0},{"value":2}] NA NA NA 0.00072 NA NA NA NA NA NA NA NA no
cotton NA NA NA -1500000 3.0458089668616e-07 1.56300797759272e-07 0 35 30 0 35 30 NA NA NA NA 0.0416666666666667 1.11111111111111e-06 FALSE 0.9 50 38 false 0.6 14 70 0.0714285714285714 5e-04 NA 1.38888888888889e-07 1.2 1 NA NA [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.1574e-07},{"value":1.1574e-07}] NA [{"value":0.67},{"value":1},{"value":1}] [{"value":0},{"value":1.6},{"value":2}] [{"value":0.6},{"value":0.6},{"value":0.5},{"value":0},{"value":0},{"value":0}] [{"value":0},{"value":0.9},{"value":1.03},{"value":1.7},{"value":1.77},{"value":2}] [{"value":0.4},{"value":0.4},{"value":0.5},{"value":0.1},{"value":0},{"value":0}] [{"value":0},{"value":0.9},{"value":1.03},{"value":1.7},{"value":1.77},{"value":2}] [{"value":0.875},{"value":0.6364},{"value":1}] [{"value":0},{"value":1},{"value":2}] NA NA NA 0.00072 NA NA NA NA NA NA NA NA no
cowpea NA NA NA -1500000 3.50729517396184e-07 3.67430922986479e-07 0 35 28 0 35 28 NA NA NA NA 0.0416666666666667 1.11111111111111e-06 FALSE 0.9 50 38 false 0.8 14 70 0.03125 5e-04 NA 1.38888888888889e-07 1.2 1 NA NA [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.2731e-07},{"value":1.1574e-07}] NA [{"value":0.35},{"value":1},{"value":1}] [{"value":0},{"value":1.2},{"value":2}] [{"value":1},{"value":1},{"value":0.61},{"value":0},{"value":0},{"value":0}] [{"value":0},{"value":0.6},{"value":0.95},{"value":1.5},{"value":1.7},{"value":2}] [{"value":0},{"value":0},{"value":0.39},{"value":0.28},{"value":0},{"value":0}] [{"value":0},{"value":0.6},{"value":0.95},{"value":1.5},{"value":1.7},{"value":2}] [{"value":0.8},{"value":1}] [{"value":0},{"value":2}] NA NA NA 0.00072 NA NA NA NA NA NA NA legume no
fababean NA NA NA -1500000 3.47361166688898e-07 2.14176056144968e-07 0 35 25 0 35 25 NA NA NA NA -4.125 9.72222222222222e-07 FALSE 0.9 50 38 false 0.8 14 70 0.032258064516129 5e-04 NA 9.25925925925926e-08 1 0 NA NA [{"value":0},{"value":3.125e-07},{"value":1.7361e-07},{"value":5.787e-08},{"value":1.1574e-07}] NA [{"value":0.5},{"value":0.7},{"value":0.8},{"value":1},{"value":1}] [{"value":0},{"value":0.54},{"value":1},{"value":1.2},{"value":2}] [{"value":0.5},{"value":0.6},{"value":0.25},{"value":0.04},{"value":0.02},{"value":0},{"value":0}] [{"value":0},{"value":0.54},{"value":1},{"value":1.2},{"value":1.42},{"value":1.51},{"value":2}] [{"value":0.5},{"value":0.4},{"value":0.5},{"value":0.25},{"value":0.14},{"value":0.01},{"value":0},{"value":0}] [{"value":0},{"value":0.54},{"value":1},{"value":1.2},{"value":1.42},{"value":1.51},{"value":1.71},{"value":2}] [{"value":1},{"value":0.8611},{"value":0.7381},{"value":0.7381}] [{"value":0},{"value":0.1},{"value":0.5},{"value":2}] NA NA NA 0.00072 NA NA NA NA NA NA NA legume no
groundnut NA NA NA -1500000 3.85802469135802e-07 2.43152816682228e-07 0 45 30 0 45 30 NA NA NA NA 0.0416666666666667 1.38888888888889e-06 FALSE 0.9 50 38 false 0.6 14 70 0.0555555555555556 5e-04 NA 1.38888888888889e-07 0.6 1 NA NA [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.3889e-07},{"value":1.1574e-07}] NA [{"value":0.8},{"value":0.92},{"value":1},{"value":1}] [{"value":0},{"value":0.2},{"value":1.5},{"value":2}] [{"value":0.5},{"value":0.5},{"value":0.5},{"value":0.34},{"value":0.1},{"value":0.1},{"value":0.1}] [{"value":0},{"value":1},{"value":1.1},{"value":1.3},{"value":1.6},{"value":1.7},{"value":2}] [{"value":0.5},{"value":0.5},{"value":0.4},{"value":0.56},{"value":0.32},{"value":0.15},{"value":0.15}] [{"value":0},{"value":1},{"value":1.1},{"value":1.3},{"value":1.6},{"value":1.7},{"value":2}] [{"value":1},{"value":1}] [{"value":0},{"value":2}] NA NA NA 0.00072 NA NA NA NA NA NA NA NA no
tropical_maize 0.06 106 1.736111e-07 -1500000 3.39506172839506e-07 2.96425645668952e-07 0 35 30 0 35 30 0 45 25 1 0.0416666666666667 1.94444444444444e-06 FALSE 0.4 5 0 true 0.6 14 70 0.0625 5e-04 8 1.38888888888889e-07 0.75 1 0.002925 0.014 [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.1574e-07},{"value":1.1574e-07}] 23 [{"value":0.6},{"value":1},{"value":1}] [{"value":0},{"value":1.1},{"value":2}] [{"value":0.62},{"value":0.62},{"value":0.28},{"value":0},{"value":0},{"value":0}] [{"value":0},{"value":0.48},{"value":0.9},{"value":1.25},{"value":1.37},{"value":2}] [{"value":0.38},{"value":0.38},{"value":0.72},{"value":0.24},{"value":0},{"value":0}] [{"value":0},{"value":0.48},{"value":0.9},{"value":1.25},{"value":1.37},{"value":2}] [{"value":0.4571},{"value":1},{"value":1}] [{"value":0},{"value":1},{"value":2}] 0.6 9 0.4 0.00072 TRUE 2 0.3 [{"value":0.005},{"value":0.035},{"value":0.033},{"value":0.028},{"value":0.005}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":2.1}] [{"value":0.01},{"value":0.05},{"value":0.04},{"value":0.035},{"value":0.018}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":2.1}] maize no
temperate_maize 0.06 106 1.736111e-07 -1500000 3.99680255795364e-07 3.47222222222222e-07 0 35 30 0 35 30 0 45 25 1 -4.125 1.94444444444444e-06 FALSE 0.4 5 0 true 0.6 14 70 0.0833333333333333 5e-04 8 2.5462962962963e-07 1 0 0.002925 0.014 [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.1574e-07},{"value":1.7361e-07}] 23 [{"value":0.6},{"value":0.63},{"value":0.66},{"value":0.69},{"value":0.73},{"value":0.77},{"value":0.81},{"value":0.85},{"value":0.9},{"value":0.94},{"value":1},{"value":1}] [{"value":0},{"value":0.1},{"value":0.2},{"value":0.3},{"value":0.4},{"value":0.5},{"value":0.6},{"value":0.7},{"value":0.8},{"value":0.9},{"value":1},{"value":2}] [{"value":0.62},{"value":0.62},{"value":0.15},{"value":0.15},{"value":0.1},{"value":0},{"value":0}] [{"value":0},{"value":0.33},{"value":0.88},{"value":0.95},{"value":1.1},{"value":1.2},{"value":2}] [{"value":0.38},{"value":0.38},{"value":0.85},{"value":0.85},{"value":0.4},{"value":0},{"value":0}] [{"value":0},{"value":0.33},{"value":0.88},{"value":0.95},{"value":1.1},{"value":1.2},{"value":2}] [{"value":0.4615},{"value":1},{"value":1}] [{"value":0},{"value":0.78},{"value":2}] 0.6 9 0.4 0.00072 TRUE 2 0.3 [{"value":0.005},{"value":0.035},{"value":0.033},{"value":0.028},{"value":0.005}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":2.1}] [{"value":0.01},{"value":0.05},{"value":0.04},{"value":0.035},{"value":0.018}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":2.1}] maize no
millet 0.03 75 1.736111e-07 -1500000 2.54869506812512e-07 4.07369066789357e-07 0 45 35 0 45 35 0 40 25 1 0.0416666666666667 2.36111111111111e-06 FALSE 0.9 50 38 false 0.5 14 70 0.0555555555555556 5e-04 10.5 4.62962962962963e-07 2.2 1 0.01395 0.017 [{"value":0},{"value":2.3148e-07},{"value":1.1574e-07},{"value":8.1019e-08},{"value":8.1019e-08}] 23 [{"value":0.4},{"value":0.86},{"value":1},{"value":1}] [{"value":0},{"value":1},{"value":1.3},{"value":2}] [{"value":0.8},{"value":0.8},{"value":0.12},{"value":0},{"value":0},{"value":0}] [{"value":0},{"value":0.2},{"value":1.13},{"value":1.3},{"value":1.6},{"value":2}] [{"value":0.2},{"value":0.2},{"value":0.88},{"value":0.64},{"value":0},{"value":0}] [{"value":0},{"value":0.2},{"value":1.13},{"value":1.3},{"value":1.6},{"value":2}] [{"value":1},{"value":0.9},{"value":0.6667},{"value":1},{"value":1}] [{"value":0},{"value":0.15},{"value":0.4},{"value":0.85},{"value":2}] 1.35 3 0.5 0.00072 TRUE 2 0.33 [{"value":0.005},{"value":0.035},{"value":0.029},{"value":0.024},{"value":0.021},{"value":0.019},{"value":0.018},{"value":0.017},{"value":0.005}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] [{"value":0.01},{"value":0.064},{"value":0.055},{"value":0.047},{"value":0.043},{"value":0.038},{"value":0.035},{"value":0.033},{"value":0.018}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] generic_summercorn no
mungbean NA NA NA -1500000 3.25520833333333e-07 2.76671093404161e-07 0 45 28 0 45 28 NA NA NA NA 0.0416666666666667 1.02777777777778e-06 FALSE 0.9 50 38 false 0.6 14 70 0.0625 5e-04 NA 1.38888888888889e-07 1 1 NA NA [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.1574e-07},{"value":1.1574e-07}] NA [{"value":0.55},{"value":1},{"value":0.97}] [{"value":0},{"value":1.45},{"value":2}] [{"value":0.65},{"value":0.65},{"value":0.45},{"value":0.06},{"value":0.04},{"value":0}] [{"value":0},{"value":1},{"value":1.15},{"value":1.45},{"value":1.6},{"value":2}] [{"value":0.35},{"value":0.35},{"value":0.48},{"value":0.39},{"value":0.16},{"value":0}] [{"value":0},{"value":1},{"value":1.15},{"value":1.45},{"value":1.6},{"value":2}] [{"value":0.6154},{"value":0.4848},{"value":1}] [{"value":0},{"value":1},{"value":2}] NA NA NA 0.00072 NA NA NA NA NA NA NA legume no
pigeonpea NA NA NA -1500000 2.31481481481481e-07 2.31481481481481e-07 0 45 45 0 45 45 NA NA NA NA 0.0416666666666667 1.11111111111111e-06 FALSE 0.9 50 38 false 0.69 14 70 0.05 5e-04 NA 1.38888888888889e-07 1.8 1 NA NA [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.1574e-07},{"value":1.1574e-07}] NA [{"value":0.7},{"value":0.7},{"value":1},{"value":1}] [{"value":0},{"value":1.3},{"value":1.75},{"value":2}] [{"value":0.5},{"value":0.5},{"value":0.43},{"value":0.34},{"value":0},{"value":0}] [{"value":0},{"value":0.65},{"value":1},{"value":1.45},{"value":1.85},{"value":2}] [{"value":0.5},{"value":0.5},{"value":0.57},{"value":0.5},{"value":0},{"value":0}] [{"value":0},{"value":0.65},{"value":1},{"value":1.45},{"value":1.85},{"value":2}] [{"value":1},{"value":0.5882},{"value":0.7143},{"value":0.7143}] [{"value":0},{"value":1.35},{"value":1.6},{"value":2}] NA NA NA 0.00072 NA NA NA NA NA NA NA legume no
potato 0.06 75 4.63e-08 -1500000 2.16049382716049e-06 2.09080047789725e-07 0 30 30 0 30 30 0 40 20 1 -4.125 8.33333333333333e-07 FALSE 0.9 50 38 false 1 14 70 0.0666666666666667 5e-04 8 1.38888888888889e-07 0.5 0 0.045 0.0035 [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":5.2083e-08},{"value":1.1574e-07}] 23 [{"value":0.8},{"value":0.8},{"value":1},{"value":1}] [{"value":0},{"value":1},{"value":1.36},{"value":2}] [{"value":0.8},{"value":0.8},{"value":0},{"value":0},{"value":0}] [{"value":0},{"value":1},{"value":1.27},{"value":1.36},{"value":2}] [{"value":0.2},{"value":0.2},{"value":0.25},{"value":0},{"value":0}] [{"value":0},{"value":1},{"value":1.27},{"value":1.36},{"value":2}] [{"value":0.5},{"value":0.5},{"value":1}] [{"value":0},{"value":1.1},{"value":2}] 1.35 3 0.6 0.00072 TRUE 2 0.27 [{"value":0.005},{"value":0.051},{"value":0.032},{"value":0.045},{"value":0.039},{"value":0.005}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":1.5},{"value":2.1}] [{"value":0.01},{"value":0.068},{"value":0.046},{"value":0.06},{"value":0.052},{"value":0.018}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":1.5},{"value":2.1}] potatoes no
potato_nl 0.06 75 4.63e-08 -1500000 2.16049382716049e-06 2.09080047789725e-07 0 30 30 0 30 30 0 40 20 1 -4.125 8.33333333333333e-07 FALSE 0.9 50 38 false 1 14 70 0.0666666666666667 5e-04 8 1.38888888888889e-07 0.5 0 0.045 0.0035 [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":5.2083e-08},{"value":1.1574e-07}] 23 [{"value":0.8},{"value":0.8},{"value":1},{"value":1}] [{"value":0},{"value":1},{"value":1.36},{"value":2}] [{"value":0.8},{"value":0.8},{"value":0},{"value":0},{"value":0}] [{"value":0},{"value":1},{"value":1.27},{"value":1.36},{"value":2}] [{"value":0.2},{"value":0.2},{"value":0.25},{"value":0},{"value":0}] [{"value":0},{"value":1},{"value":1.27},{"value":1.36},{"value":2}] [{"value":0.5},{"value":0.5},{"value":1}] [{"value":0},{"value":1.1},{"value":2}] 1.35 3 0.6 0.00072 TRUE 2 0.27 [{"value":0.005},{"value":0.051},{"value":0.032},{"value":0.045},{"value":0.039},{"value":0.005}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":1.5},{"value":2.1}] [{"value":0.01},{"value":0.068},{"value":0.046},{"value":0.06},{"value":0.052},{"value":0.018}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":1.5},{"value":2.1}] potatoes no
rapeseed 0.03 75 1.736111e-07 -1500000 1.49498456790123e-06 5.97993827160494e-07 0 45 35 0 45 35 0 40 25 1 0.666666666666667 1.11111111111111e-06 FALSE 0.9 50 38 false 0.54 14 70 0.0526315789473684 5e-04 10.5 1.38888888888889e-07 1.25 1 0.01395 0.017 [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.1574e-07},{"value":1.1574e-07}] 23 [{"value":0.8},{"value":0.8},{"value":1},{"value":1}] [{"value":0},{"value":0.3},{"value":1},{"value":2}] [{"value":0.7},{"value":0.7},{"value":0.5},{"value":0.3},{"value":0.15},{"value":0.15},{"value":0},{"value":0}] [{"value":0},{"value":0.2},{"value":0.3},{"value":0.7},{"value":1},{"value":1.19},{"value":1.2},{"value":2}] [{"value":0.3},{"value":0.3},{"value":0.5},{"value":0.7},{"value":0.85},{"value":0.55},{"value":0.7},{"value":0.3},{"value":0},{"value":0}] [{"value":0},{"value":0.2},{"value":0.3},{"value":0.7},{"value":1},{"value":1.19},{"value":1.2},{"value":1.35},{"value":1.7},{"value":2}] [{"value":0.8636},{"value":1}] [{"value":0},{"value":2}] 1.35 3 0.5 0.00072 TRUE 2 0.33 [{"value":0.005},{"value":0.035},{"value":0.029},{"value":0.024},{"value":0.021},{"value":0.019},{"value":0.018},{"value":0.017},{"value":0.005}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] [{"value":0.01},{"value":0.064},{"value":0.055},{"value":0.047},{"value":0.043},{"value":0.038},{"value":0.035},{"value":0.033},{"value":0.018}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] generic_summercorn no
rice_eu NA NA NA -1500000 1.98412698412698e-07 2.77777777777778e-07 0 25 25 0 25 25 NA NA NA NA -4.125 1.11111111111111e-06 FALSE 0.9 50 38 false 0.6 14 70 0.0454545454545454 5e-04 NA 1.38888888888889e-07 0.8 0 NA NA [{"value":0},{"value":3.4722e-07},{"value":2.3148e-07},{"value":1.7361e-07},{"value":1.7361e-07}] NA [{"value":0.8},{"value":0.8},{"value":0.85},{"value":0.85},{"value":1},{"value":1}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":1.1},{"value":2}] [{"value":0.4},{"value":0.35},{"value":0.18},{"value":0.15},{"value":0},{"value":0},{"value":0}] [{"value":0},{"value":0.5},{"value":0.85},{"value":0.9},{"value":1},{"value":1.1},{"value":2}] [{"value":0.6},{"value":0.65},{"value":0.82},{"value":0.55},{"value":0.25},{"value":0.15},{"value":0},{"value":0}] [{"value":0},{"value":0.5},{"value":0.85},{"value":0.9},{"value":1},{"value":1.1},{"value":1.2},{"value":2}] [{"value":1},{"value":1},{"value":1},{"value":1}] [{"value":0},{"value":0.6},{"value":1},{"value":2.1}] NA NA NA NA NA NA NA NA NA NA NA rice no
rice_irri NA NA NA -1500000 3.47222222222222e-07 5.97371565113501e-07 0 45 35 0 45 35 NA NA NA NA 0.0416666666666667 1.11111111111111e-06 FALSE 0.9 50 38 false 0.43 14 70 0.04 5e-04 NA 1.38888888888889e-07 0.8 1 NA NA [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":4.6296e-08},{"value":1.1574e-07}] NA [{"value":0.6},{"value":0.85},{"value":1},{"value":1}] [{"value":0},{"value":0.25},{"value":1.3},{"value":2}] [{"value":0.9},{"value":0.5},{"value":0.26},{"value":0},{"value":0},{"value":0}] [{"value":0},{"value":0.35},{"value":0.8},{"value":1.27},{"value":1.38},{"value":2}] [{"value":0.1},{"value":0.5},{"value":0.74},{"value":0.2},{"value":0},{"value":0}] [{"value":0},{"value":0.35},{"value":0.8},{"value":1.27},{"value":1.38},{"value":2}] [{"value":0.8929},{"value":1}] [{"value":0},{"value":2}] NA NA NA 0.00072 NA NA NA NA NA NA NA rice no
seed_onion NA NA NA -1500000 9.72222222222222e-07 1.18563685636856e-07 0 30 21 0 30 21 NA NA NA NA -4.125 8.33333333333333e-07 FALSE 0.9 50 38 false 0.5 0 0 0.0833333333333333 5e-04 NA 1.38888888888889e-07 0.6 0 NA NA [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":5.787e-08},{"value":1.7361e-07}] NA [{"value":0.8},{"value":0.8},{"value":0.9},{"value":1},{"value":1}] [{"value":0},{"value":1},{"value":1.27},{"value":1.36},{"value":2}] [{"value":1},{"value":1},{"value":0.4},{"value":0},{"value":0}] [{"value":0},{"value":1},{"value":1.27},{"value":1.36},{"value":2}] [{"value":0},{"value":0},{"value":0},{"value":0},{"value":0}] [{"value":0},{"value":1},{"value":1.27},{"value":1.36},{"value":2}] [{"value":0.8},{"value":1}] [{"value":0},{"value":2}] NA NA NA 0.00072 NA NA NA NA NA NA NA NA no
sorghum 0.03 75 1.736111e-07 -1500000 3.17097919837646e-07 3.85802469135802e-07 0 45 30 0 45 30 0 40 25 1 0.0416666666666667 1.94444444444444e-06 FALSE 0.4 5 0 true 0.7 14 70 0.0526315789473684 5e-04 10.5 1.38888888888889e-07 1.5 1 0.01395 0.017 [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.1574e-07},{"value":1.1574e-07}] 23 [{"value":0.8},{"value":0.8},{"value":1},{"value":1}] [{"value":0},{"value":0.85},{"value":1.45},{"value":2}] [{"value":0.6},{"value":0.6},{"value":0.57},{"value":0},{"value":0},{"value":0}] [{"value":0},{"value":0.56},{"value":0.6},{"value":1.35},{"value":1.82},{"value":2}] [{"value":0.4},{"value":0.4},{"value":0.43},{"value":0.39},{"value":0},{"value":0}] [{"value":0},{"value":0.56},{"value":0.6},{"value":1.35},{"value":1.82},{"value":2}] [{"value":0.5429},{"value":0.5429},{"value":1},{"value":1}] [{"value":0},{"value":0.33},{"value":1},{"value":2}] 1.35 3 0.5 0.00072 TRUE 2 0.33 [{"value":0.005},{"value":0.035},{"value":0.029},{"value":0.024},{"value":0.021},{"value":0.019},{"value":0.018},{"value":0.017},{"value":0.005}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] [{"value":0.01},{"value":0.064},{"value":0.055},{"value":0.047},{"value":0.043},{"value":0.038},{"value":0.035},{"value":0.033},{"value":0.018}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] generic_summercorn no
soybean NA NA NA -1500000 1.25661375661376e-06 5.17429193899782e-07 0 45 45 0 45 45 NA NA NA NA -4.125 8.05555555555555e-07 FALSE 0.9 50 38 false 0.8 14 70 0.142857142857143 5e-04 NA 1.38888888888889e-07 1.2 0 NA NA [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.9676e-07},{"value":1.1574e-07}] NA [{"value":0.35},{"value":0.65},{"value":0.85},{"value":1},{"value":1}] [{"value":0},{"value":0.75},{"value":1},{"value":1.5},{"value":2}] [{"value":0.7},{"value":0.7},{"value":0.6},{"value":0.43},{"value":0.15},{"value":0}] [{"value":0},{"value":1},{"value":1.15},{"value":1.3},{"value":1.5},{"value":2}] [{"value":0.3},{"value":0.3},{"value":0.25},{"value":0.1},{"value":0.1},{"value":0}] [{"value":0},{"value":1},{"value":1.15},{"value":1.3},{"value":1.5},{"value":2}] [{"value":0.5},{"value":0.28},{"value":0.28},{"value":1}] [{"value":0},{"value":0.45},{"value":0.9},{"value":2}] NA NA NA 0.00072 NA NA NA NA NA NA NA legume no
sugarbeet_WOFOST 0.03 90 1.736111e-07 -1500000 3.2051282051282e-07 1.48809523809524e-07 0 35 21 0 35 21 0 45 20 1 -4.125 6.25e-07 FALSE 0.9 50 38 false 0.69 14 70 0.05 5e-04 8 1.38888888888889e-07 1.2 0 0.00038475 0.00175 [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":3.4722e-08},{"value":1.7361e-07}] 23 [{"value":0.8},{"value":0.71},{"value":0.7},{"value":0.85},{"value":0.91},{"value":0.91},{"value":0.92},{"value":0.99},{"value":0.98}] [{"value":0},{"value":0.91},{"value":1},{"value":1.15},{"value":1.29},{"value":1.3},{"value":1.57},{"value":1.92},{"value":2}] [{"value":0.85},{"value":0.5},{"value":0.05},{"value":0.05},{"value":0.05}] [{"value":0},{"value":1},{"value":1.3},{"value":1.57},{"value":2}] [{"value":0.15},{"value":0.5},{"value":0.1},{"value":0.1},{"value":0.05},{"value":0.05}] [{"value":0},{"value":1},{"value":1.3},{"value":1.57},{"value":1.92},{"value":2}] [{"value":1},{"value":1}] [{"value":0},{"value":2}] 1.11 1.38 0.4 0.00072 FALSE 1 0.38 [{"value":0.005},{"value":0.045},{"value":0.043},{"value":0.037},{"value":0.034},{"value":0.005}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":1.5},{"value":2.1}] [{"value":0.01},{"value":0.06},{"value":0.059},{"value":0.053},{"value":0.049},{"value":0.018}] [{"value":0},{"value":0.5},{"value":0.8},{"value":1},{"value":1.5},{"value":2.1}] sugarbeet no
sugarcane NA NA NA -1500000 5.09332603154113e-08 4.50703819083881e-07 0 45 35 0 45 35 NA NA NA NA 0.0416666666666667 1.94444444444444e-06 FALSE 0.4 5 0 true 0.5 14 70 0.125 5e-04 NA 1.38888888888889e-07 2 1 NA NA [{"value":0},{"value":3.4722e-07},{"value":8.1019e-08},{"value":1.1574e-07},{"value":1.1574e-07}] NA [{"value":0.33},{"value":0.33},{"value":0.33},{"value":0.84},{"value":0.84},{"value":0.84},{"value":0.84},{"value":0.84}] [{"value":0},{"value":0.03},{"value":0.15},{"value":0.23},{"value":0.48},{"value":1},{"value":1.1},{"value":2}] [{"value":1},{"value":1},{"value":0.79},{"value":0.66},{"value":0.24},{"value":0.24},{"value":0},{"value":0}] [{"value":0},{"value":0.03},{"value":0.15},{"value":0.23},{"value":0.48},{"value":1},{"value":1.1},{"value":2}] [{"value":0},{"value":0},{"value":0.21},{"value":0.34},{"value":0.76},{"value":0.76},{"value":0},{"value":0}] [{"value":0},{"value":0.03},{"value":0.15},{"value":0.23},{"value":0.48},{"value":1},{"value":1.1},{"value":2}] [{"value":0.8889},{"value":0.4211},{"value":0.6667},{"value":1},{"value":0.8},{"value":0.8}] [{"value":0},{"value":0.21},{"value":0.29},{"value":0.64},{"value":1},{"value":2}] NA NA NA 0.00072 NA NA NA NA NA NA NA NA no
sunflower 0.03 75 1.736111e-07 -1500000 4.18871252204586e-07 4.39814814814815e-07 0 40 40 0 40 40 0 40 25 1 -4.125 1e-06 FALSE 0.9 50 38 false 0.9 14 70 0.04 5e-04 10.5 1.38888888888889e-07 1.5 0 0.01395 0.017 [{"value":0},{"value":3.4722e-07},{"value":1.7361e-07},{"value":1.3889e-07},{"value":1.1574e-07}] 23 [{"value":0.5},{"value":0.5},{"value":1},{"value":1}] [{"value":0},{"value":0.65},{"value":1.1},{"value":2}] [{"value":0.5},{"value":0.5},{"value":0.41},{"value":0.2},{"value":0},{"value":0},{"value":0}] [{"value":0},{"value":0.85},{"value":0.91},{"value":1},{"value":1.22},{"value":1.35},{"value":2}] [{"value":0.5},{"value":0.5},{"value":0.59},{"value":0.8},{"value":0.28},{"value":0},{"value":0}] [{"value":0},{"value":0.85},{"value":0.91},{"value":1},{"value":1.22},{"value":1.35},{"value":2}] [{"value":0.7143},{"value":1},{"value":1}] [{"value":0},{"value":1},{"value":2}] 1.35 3 0.5 0.00072 TRUE 2 0.33 [{"value":0.005},{"value":0.035},{"value":0.029},{"value":0.024},{"value":0.021},{"value":0.019},{"value":0.018},{"value":0.017},{"value":0.005}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] [{"value":0.01},{"value":0.064},{"value":0.055},{"value":0.047},{"value":0.043},{"value":0.038},{"value":0.035},{"value":0.033},{"value":0.018}] [{"value":0},{"value":0.8},{"value":0.9},{"value":1},{"value":1.05},{"value":1.101},{"value":1.13},{"value":1.2},{"value":2.1}] generic_summercorn no
